iter	Passed	Remaining
409	3396	4888
410	3404	4878
411	3411	4869
412	3419	4859
413	3426	4850
414	3433	4839
415	3441	4831
416	3446	4818
417	3452	4806
418	3458	4795
419	3465	4785
420	3472	4776
421	3479	4766
422	3485	4754
423	3492	4744
424	3500	4735
425	3506	4724
426	3512	4713
427	3517	4700
428	3523	4689
429	3529	4678
430	3540	4674
431	3547	4663
432	3553	4653
433	3561	4644
434	3568	4634
435	3573	4622
436	3580	4612
437	3587	4603
438	3594	4593
439	3600	4582
440	3605	4570
441	3611	4559
442	3618	4549
443	3625	4539
444	3631	4529
445	3637	4518
446	3645	4509
447	3650	4498
448	3661	4493
449	3667	4482
450	3673	4471
451	3679	4461
452	3687	4452
453	3697	4446
454	3706	4440
455	3714	4431
456	3721	4421
457	3728	4412
458	3734	4401
459	3739	4389
460	3745	4379
461	3751	4368
462	3757	4358
463	3764	4348
464	3770	4338
465	3777	4328
466	3783	4318
467	3789	4308
468	3794	4296
469	3802	4287
470	3808	4277
471	3815	4267
472	3821	4257
473	3826	4246
474	3833	4237
475	3841	4228
476	3848	4219
477	3856	4211
478	3862	4201
479	3869	4191
480	3874	4180
481	3881	4171
482	3887	4161
483	3893	4151
484	3898	4139
485	3904	4129
486	3911	4119
487	3917	4109
488	3922	4098
489	3928	4088
490	3934	4078
491	3939	4067
492	3944	4056
493	3951	4047
494	3957	4037
495	3962	4026
496	3968	4016
497	3975	4007
498	3983	3999
499	3990	3990
500	3997	3981
501	4003	3971
502	4009	3961
503	4017	3954
504	4025	3945
505	4032	3936
506	4040	3929
507	4048	3920
508	4055	3912
509	4062	3902
510	4067	3892
511	4077	3886
512	4084	3877
513	4090	3867
514	4095	3856
515	4101	3847
516	4108	3838
517	4113	3827
518	4118	3816
519	4125	3807
520	4131	3798
521	4136	3788
522	4142	3777
523	4148	3768
524	4155	3759
525	4162	3750
526	4167	3740
527	4172	3730
528	4179	3721
529	4186	3712
530	4194	3704
531	4201	3696
532	4208	3687
533	4217	3680
534	4222	3669
535	4227	3659
536	4234	3650
537	4243	3644
538	4250	3635
539	4257	3626
540	4263	3617
541	4269	3607
542	4275	3598
543	4281	3589
544	4287	3579
545	4292	3569
546	4298	3560
547	4305	3551
548	4311	3542
549	4316	3532
550	4323	3522
551	4330	3514
552	4337	3505
553	4343	3496
554	4348	3486
555	4355	3478
556	4363	3470
557	4370	3462
558	4381	3456
559	4388	3447
560	4394	3438
561	4400	3429
562	4407	3420
563	4412	3410
564	4418	3401
565	4424	3392
566	4429	3382
567	4434	3372
568	4440	3363
569	4447	3354
570	4452	3345
571	4458	3335
572	4464	3327
573	4471	3318
574	4479	3310
575	4484	3300
576	4490	3292
577	4497	3283
578	4503	3274
579	4511	3267
580	4520	3260
581	4527	3251
582	4537	3245
583	4546	3238
584	4554	3230
585	4561	3222
586	4570	3215
587	4579	3208
588	4586	3200
589	4596	3194
590	4603	3186
591	4610	3177
592	4616	3168
593	4622	3159
594	4628	3150
595	4634	3141
596	4640	3132
597	4646	3123
598	4651	3114
599	4657	3105
600	4663	3096
601	4668	3086
602	4674	3077
603	4680	3068
604	4686	3060
605	4693	3051
606	4699	3042
607	4705	3033
608	4711	3025
609	4717	3016
610	4725	3008
611	4733	3000
612	4739	2991
613	4747	2984
614	4753	2975
615	4760	2967
616	4767	2959
617	4773	2950
618	4784	2944
619	4790	2936
620	4795	2926
621	4801	2917
622	4808	2909
623	4814	2901
624	4819	2891
625	4824	2882
626	4831	2874
627	4838	2866
628	4845	2857
629	4850	2848
630	4856	2840
631	4863	2831
632	4870	2823
633	4876	2815
634	4881	2805
635	4888	2797
636	4895	2789
637	4902	2781
638	4910	2774
639	4917	2766
640	4923	2757
641	4928	2748
642	4935	2740
643	4942	2732
644	4949	2724
645	4955	2715
646	4961	2706
647	4967	2698
648	4973	2689
649	4979	2681
650	4984	2672
651	4990	2663
652	4997	2655
653	5004	2647
654	5009	2638
655	5015	2629
656	5021	2621
657	5028	2613
658	5034	2605
659	5040	2596
660	5047	2588
661	5054	2580
662	5060	2572
663	5067	2564
664	5074	2556
665	5080	2547
666	5086	2539
667	5095	2532
668	5101	2524
669	5107	2515
670	5114	2507
671	5124	2501
672	5133	2494
673	5139	2485
674	5146	2477
675	5153	2470
676	5159	2461
677	5164	2452
678	5170	2444
679	5177	2436
680	5184	2428
681	5190	2420
682	5196	2411
683	5203	2403
684	5209	2395
685	5216	2387
686	5220	2378
687	5227	2370
688	5233	2362
689	5239	2354
690	5244	2345
691	5252	2337
692	5260	2330
693	5268	2322
694	5275	2315
695	5284	2308
696	5290	2300
697	5303	2294
698	5309	2286
699	5315	2278
700	5322	2270
701	5328	2262
702	5334	2253
703	5340	2245
704	5346	2237
705	5352	2228
706	5357	2220
707	5364	2212
708	5370	2204
709	5378	2196
710	5385	2188
711	5390	2180
712	5396	2172
713	5404	2165
714	5412	2157
715	5418	2149
716	5425	2141
717	5430	2132
718	5436	2124
719	5444	2117
720	5451	2109
721	5458	2101
722	5465	2093
723	5471	2085
724	5476	2077
725	5483	2069
726	5490	2061
727	5496	2053
728	5502	2045
729	5507	2036
730	5513	2028
731	5520	2021
732	5527	2013
733	5532	2004
734	5537	1996
735	5543	1988
736	5550	1980
737	5555	1972
738	5561	1964
739	5568	1956
740	5575	1948
741	5583	1941
742	5589	1933
743	5595	1925
744	5601	1917
745	5608	1909
746	5615	1901
747	5621	1893
748	5629	1886
749	5635	1878
750	5640	1870
751	5646	1862
752	5652	1854
753	5658	1846
754	5663	1837
755	5669	1829
756	5680	1823
757	5686	1815
758	5692	1807
759	5698	1799
760	5704	1791
761	5710	1783
762	5717	1775
763	5723	1768
764	5728	1759
765	5733	1751
766	5740	1743
767	5746	1736
768	5751	1727
769	5757	1719
770	5763	1711
771	5770	1704
772	5776	1696
773	5781	1688
774	5787	1680
775	5796	1673
776	5803	1665
777	5810	1658
778	5819	1650
779	5826	1643
780	5832	1635
781	5837	1627
782	5848	1620
783	5853	1612
784	5860	1605
785	5866	1597
786	5872	1589
787	5877	1581
788	5883	1573
789	5890	1565
790	5896	1558
791	5903	1550
792	5908	1542
793	5915	1534
794	5921	1527
795	5927	1519
796	5932	1511
797	5939	1503
798	5946	1496
799	5954	1488
800	5960	1480
801	5965	1472
802	5972	1465
803	5980	1457
804	5987	1450
805	5996	1443
806	6003	1435
807	6009	1427
808	6015	1420
809	6020	1412
810	6026	1404
811	6032	1396
812	6038	1388
813	6043	1380
814	6049	1373
815	6055	1365
816	6061	1357
817	6066	1349
818	6072	1342
819	6079	1334
820	6085	1326
821	6090	1318
822	6097	1311
823	6104	1303
824	6111	1296
825	6118	1288
826	6125	1281
827	6131	1273
828	6137	1266
829	6146	1258
830	6153	1251
831	6160	1243
832	6169	1236
833	6175	1229
834	6182	1221
835	6188	1213
836	6193	1206
837	6207	1199
838	6213	1192
839	6219	1184
840	6224	1176
841	6232	1169
842	6238	1161
843	6245	1154
844	6251	1146
845	6256	1138
846	6262	1131
847	6268	1123
848	6274	1116
849	6279	1108
850	6287	1100
851	6297	1093
852	6305	1086
853	6315	1079
854	6324	1072
855	6333	1065
856	6341	1058
857	6347	1050
858	6354	1043
859	6361	1035
860	6366	1027
861	6372	1020
862	6379	1012
863	6385	1005
864	6390	997
865	6396	989
866	6409	983
867	6415	975
868	6421	968
869	6428	960
870	6435	953
871	6443	945
872	6449	938
873	6455	930
874	6461	923
875	6468	915
876	6476	908
877	6483	900
878	6490	893
879	6497	886
880	6505	878
881	6514	871
882	6521	864
883	6527	856
884	6532	848
885	6539	841
886	6545	833
887	6550	826
888	6556	818
889	6562	811
890	6568	803
891	6573	795
892	6579	788
893	6585	780
894	6590	773
895	6595	765
896	6601	758
897	6608	750
898	6612	742
899	6618	735
900	6624	727
901	6631	720
902	6636	712
903	6643	705
904	6650	698
905	6657	690
906	6664	683
907	6669	675
908	6676	668
909	6683	660
910	6690	653
911	6698	646
912	6705	638
913	6712	631
914	6717	624
915	6722	616
916	6728	609
917	6738	601
918	6746	594
919	6754	587
920	6761	580
921	6769	572
922	6775	565
923	6781	557
924	6786	550
925	6792	542
926	6799	535
927	6805	527
928	6809	520
929	6816	513
930	6822	505
931	6827	498
932	6832	490
933	6839	483
934	6847	476
935	6854	468
936	6863	461
937	6870	454
938	6876	446
939	6881	439
940	6888	431
941	6894	424
942	6900	417
943	6908	409
944	6912	402
945	6919	394
946	6929	387
947	6936	380
948	6942	373
949	6949	365
950	6954	358
951	6961	350
952	6967	343
953	6973	336
954	6979	328
955	6985	321
956	6990	314
957	6996	306
958	7003	299
959	7009	292
960	7017	284
961	7023	277
962	7029	270
963	7037	262
964	7044	255
965	7050	248
966	7057	240
967	7063	233
968	7068	226
969	7074	218
970	7081	211
971	7087	204
972	7092	196
973	7098	189
974	7105	182
975	7112	174
976	7118	167
977	7123	160
978	7130	152
979	7136	145
980	7143	138
981	7148	131
982	7154	123
983	7160	116
984	7166	109
985	7172	101
986	7181	94
987	7187	87
988	7194	80
989	7202	72
990	7210	65
991	7217	58
992	7225	50
993	7232	43
994	7241	36
995	7247	29
996	7257	21
997	7264	14
998	7271	7
999	7275	0
